Unique ID,TalkID,Name,personQID,countryOfCitizenship,countryOfCitizenshipQID,educatedAt,educatedAtQID,personFieldOfWork,personFieldOfWorkQID,Company,companyQID,member of,memberOfQID,instance of,instanceOfQID,industry,industryQID,companyFieldOfWork,companyFieldOfWorkQID,HQ,HQQID1,HQ2,HQQID2,HQ3,HQQID3,HQ4,HQQID4,HQ5,HQQID5,Title,LinkedIn,Final Bios
,,,,,,,,,,,,,,graph database,Q595971,,,,,,,,,,,,,,,,,
8,8,John F. Sowa,Q92665,United States of America,Q30,Harvard University,Q13371,,,"Kyndi, Inc.",Q91146443,,,business,Q4830453,software industry,Q880371,artificial intelligence,Q11660,San Mateo,Q169943,San Mateo County,Q108101,California,Q99,United States of America,Q30,,,,https://www.linkedin.com/in/john-sowa-2660602/,"John F. Sowa spent 30 years on R & D projects at IBM and is a cofounder of VivoMind Research LLC.  He is a fellow of the AAAI, and he has published several books and many articles on logic, AI, and computational linguistics."
,,,,,,Massachusetts Institute of Technology,Q49108,,,,,,,,,,,knowledge graph,Q33002955,,,,,,,,,,,,,
,,,,,,Free University of Brussels,Q20754971,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Harvard School of Engineering and Applied Sciences,Q5676553,,,,,,,,,,,,,,,,,,,,,,,,,
9,9,Michael Grove,,,,,,,,Stardog,Q91147741,,,graph database,Q595971,,,,,Arlington County,Q107126,Virginia,Q1370,United States of America,Q30,,,,,VP of Engineering and Co-Founder,https://www.linkedin.com/in/michaelhgrove/,"Michael is VP of Engineering and Co-Founder at Stardog, where he manages their world-class engineering organization and helps shape the direction of the Stardog Knowledge Graph. He has over 15 years of experience in the AI, Semantic Technology, and Graph Database fields. Prior to Stardog, Michael performed research on the use of graph-based technologies in pervasive computing environments while at Fujitsu Labs of America. Michael is a graduate of the University of Maryland in Computer Science and an alumnus of its MINDLAB, a seminal research group in Semantic Web technology."
10,10,Konstantin Todorov,,,,,,,,University of Montpellier,Q776223,Mediterra,Q3304068,university in France,Q3551775,,,,,,,,,,,,,,,,https://www.lirmm.fr/users/utilisateurs-lirmm/konstantin-todorov,"Dr. Konstantin Todorov is Assoc. Professor at the University of Montpellier since 2012. He obtained his PhD in Cognitive Science from the Univ. of Osnabrück (Germany) in 2010 after receiving a MSc in Statistical Learning from the Univ. of Provence (France).  His research lies in the AI fields of knowledge and data integration and extraction with applications in the fields of cultural heritage, agriculture and social sciences."
,,,,,,,,,,,,Coimbra Group,Q211620,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Couperin Consortium,Q2994760,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,European University Association,Q868940,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Renater,Q3456896,,,,,,,,,,,,,,,,,,,
11,11,Nicolas Seyot,,,,,,,,Morgan Stanley,Q334204,Linux Foundation,Q858851,business,Q4830453,financial services,Q837171,,,New York City,Q60,New York,Q1384,United States of America,Q30,,,,,,https://www.linkedin.com/in/nseyot/,"Nic Seyot serves as Head of Information Management for Morgan Stanley and as Head of Data & Analytics for the Legal and Compliance Division. Nic joined Morgan Stanley in 2014 to help create services and tools to better organize, retrieve, retain and protect the firm’s information. Since 2019, Nic leads the Data & Analytics team who provides advanced analytics and visualization for trade and financial crimes surveillance. Prior to joining Morgan Stanley he worked at GE Capital, where he held increasingly senior roles in information management. Nic earned his Master’s in Information Sciences and Knowledge Management from the Sorbonne in Paris."
,,,,,,,,,,,,,,enterprise,Q6881511,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,credit institution,Q730038,,,,,,,,,,,,,,,,,
12,12,Ora Lassila,Q7099202,Finland,Q33,Helsinki University of Technology,Q1646874,,,Amazon Web Services,Q456157,Linux Foundation,Q858851,internet hosting service,Q1210425,cloud computing,Q483639,,,Seattle,Q5083,King County,Q108861,Washington,Q1223,United States of America,Q30,,,,https://www.linkedin.com/in/oralassila,"Ora is a senior software architect and researcher, with many years of experience in all aspects of the software industry (academic research & teaching, software R&D and strategy in large corporations, software start-ups, venture capitalism, standardization and industry consortia). He has a strong focus and expertise on Graph Databases, Data Management, Artificial Intelligence, Ontologies and Web technologies."
,,,,,,,,,,,,,,commercial organization,Q21980538,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,subsidiary,Q658255,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,computing platform,Q241317,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,application programming interface,Q165194,,,,,,,,,,,,,,,,,
13,13,Paco Nathan,Q7123088,United States of America,Q30,,,,,"Derwen, Inc.",Q91148424,,,business,Q4830453,software industry,Q880371,artificial intelligence,Q11660,Sebastopol,Q985264,Sonoma County,Q108067,California,Q99,United States of America,Q30,,,,https://www.linkedin.com/in/ceteri/,"Known as a ""player/coach"", with core expertise in data science, natural language processing, machine learning, cloud computing; 35+ years tech industry experience, ranging from Bell Labs to early-stage start-ups. Co-chair Rev and JupyterCon. Advisor for NYU Coleridge Initiative, IBM Data Science Community, Amplify Partners, Recognai, Primer. Formerly: Director, Community Evangelism @ Databricks and Apache Spark. Cited in 2015 as one of the Top 30 People in Big Data and Analytics by Innovation Enterprise."
14,14,Rafael S Gonçalves,Q88654416,,,University of Manchester,Q230899,,,Stanford University,Q41506,"ORCID, Inc.",Q19861084,private university,Q902104,,,,,Stanford,Q173813,Santa Clara County,Q110739,California,Q99,United States of America,Q30,,,Research Scientist,http://linkedin.com/in/rsgoncalves,"Rafael Gonçalves is a Research Scientist at Stanford University. He researches methods for engineering and reasoning over ontologies primarily represented in OWL. He steers the research activities of the Protégé group, which develops Protégé and WebProtégé: widely used, open source ontology editors with rich collaboration features for Web based editing."
,,,,,,,,,,,,Digital Library Federation,Q5275906,research university,Q15936437,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,IIIF Consortium,Q35677307,private not-for-profit educational institution,Q23002054,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Center for Research Libraries,Q5059850,open-access publisher,Q45400320,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Pac-12 Conference,Q128471,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,World Wide Web Consortium,Q37033,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Coalition for Networked Information,Q5137944,,,,,,,,,,,,,,,,,,,
15,15,Ron Bekkerman,Q89694904,,,University of Massachusetts Amherst,Q15142,,,Cherre Inc.,Q91148428,,,business,Q4830453,software industry,Q880371,artificial intelligence,Q11660,New York City,Q60,New York,Q1384,United States of America,Q30,,,,,CTO,https://www.linkedin.com/in/bekkerman/,"Ron Bekkerman is the CTO of Cherre Inc., an AI-powered real estate data integration platform. From 2013 to 2018, Ron was Assistant Professor and Director of the Big Data Science Lab at the University of Haifa, Israel. Prior to that, he was the Chief Data Officer of Viola Ventures, a founding member of the Data Science team at LinkedIn, and a Research Scientist at HP Labs in the Bay Area. He received his B.Sc. and M.Sc. in Computer Science from the Technion – Israel Institute of Technology, and his Ph.D. in Machine Learning from the University of Massachusetts, Amherst."
,,,,,,,,,,,,,,,,,,real estate,Q10494269,,,,,,,,,,,,,
16,16,Ruben Verborgh,Q30085536,Belgium,Q31,Ghent University,Q1137665,Semantic Web,Q54837,Ghent University,Q1137665,Ghent University Association,Q2027055,university,Q3918,,,,,Ghent,Q1296,East Flanders,Q1114,Flemish Region,Q9337,Belgium,Q31,,,Professor of Decentralized Web Technology,https://ruben.verborgh.org/resume/#biography,"Ruben Verborgh is a professor of Decentralized Web technology at IDLab, Ghent University – imec, and a research affiliate at the Decentralized Information Group of CSAIL at MIT. Additionally, he acts as a technology advocate for Inrupt and the Solid ecosystem wherein people and organizations control their own data. He aims to build a more intelligent generation of clients for a decentralized Web at the intersection of Linked Data and hypermedia-driven Web APIs."
,,,,,,,,decentralization on the internet,Q10911465,,,"ORCID, Inc.",Q19861084,open-access publisher,Q45400320,,,,,,,,,,,,,,,,,
,,,,,,,,computer science,Q21198,,,Confederation of Open Access Repositories,Q48789578,,,,,,,,,,,,,,,,,,,
,,,,,,,,World Wide Web,Q466,,,European University Association,Q868940,,,,,,,,,,,,,,,,,,,
,,,,,,,,Linked Data Fragments,Q31202219,,,International GLAM Labs Community,Q72936141,,,,,,,,,,,,,,,,,,,
17,17,Thorsten Liebig,,,,,,,,derivo GmbH,Q91149041,,,business,Q4830453,,,Semantic Web,Q54837,Ulm,Q3012,Tübingen Government Region,Q8170,Baden-Württemberg,Q985,Germany,Q183,,,CEO,https://www.linkedin.com/in/tliebig/,"Thorsten CEO of derivo GmbH since 2010. derivo is an SME that supports leading European companies including Siemens, Schaeffler and Festo to successfully build and implement Knowledge Graphs and reasoning technology in complex technical domains. Thorsten studied Computer Science at Ulm University. He received national scholarships to work at the Information Sciences Institute at the University of Southern California and to finish his dissertation at Otto- von-Guericke University in Magdeburg. He also headed the international working group that specified OWLlink, a communication protocol for OWL, that became a W3C member submission in 2011."
,,,,,,,,,,,,,,Gesellschaft mit beschränkter Haftung,Q15829892,,,ontology engineering,Q1027508,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,artificial intelligence,Q11660,,,,,,,,,,,,,
